"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"CARBOHYDRATE POLYMERS","CARBOHYD POLYM","0144-8617","1879-1344","CHEMISTRY, APPLIED - SCIE","104,570","9.381","Q1","1.99","3.43"%,
"CARBOHYDRATE POLYMERS","CARBOHYD POLYM","0144-8617","1879-1344","CHEMISTRY, ORGANIC - SCIE","104,570","9.381","Q1","1.99","3.43"%,
"CARBOHYDRATE POLYMERS","CARBOHYD POLYM","0144-8617","1879-1344","POLYMER SCIENCE - SCIE","104,570","9.381","Q1","1.99","3.43"%,
"INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES","INT J BIOL MACROMOL","0141-8130","1879-0003","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","79,247","6.953","Q1","1.38","2.6"%,
"INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES","INT J BIOL MACROMOL","0141-8130","1879-0003","CHEMISTRY, APPLIED - SCIE","79,247","6.953","Q1","1.38","2.6"%,
"INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES","INT J BIOL MACROMOL","0141-8130","1879-0003","POLYMER SCIENCE - SCIE","79,247","6.953","Q1","1.38","2.6"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","N/A","1422-0067","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","139,473","5.924","Q1","0.71","99.78"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","N/A","1422-0067","CHEMISTRY, MULTIDISCIPLINARY - SCIE","139,473","5.924","Q2","0.71","99.78"%,
"BIOORGANIC CHEMISTRY","BIOORG CHEM","0045-2068","1090-2120","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10,576","5.275","Q2","1.26","1.34"%,
"BIOORGANIC CHEMISTRY","BIOORG CHEM","0045-2068","1090-2120","CHEMISTRY, ORGANIC - SCIE","10,576","5.275","Q1","1.26","1.34"%,
"APPLIED MICROBIOLOGY AND BIOTECHNOLOGY","APPL MICROBIOL BIOT","0175-7598","1432-0614","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","54,507","4.813","Q1","0.88","10.74"%,
"Journal of Proteomics","J PROTEOMICS","1874-3919","1876-7737","BIOCHEMICAL RESEARCH METHODS - SCIE","12,152","4.044","Q2","1.06","6.23"%,
"ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS","ARCH BIOCHEM BIOPHYS","0003-9861","1096-0384","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","26,363","4.013","Q2","0.84","3.81"%,
"ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS","ARCH BIOCHEM BIOPHYS","0003-9861","1096-0384","BIOPHYSICS - SCIE","26,363","4.013","Q2","0.84","3.81"%,
"BIOCHEMICAL JOURNAL","BIOCHEM J","0264-6021","1470-8728","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","52,813","3.857","Q3","0.7","41.61"%,
"BIOSCIENCE REPORTS","BIOSCIENCE REP","0144-8463","1573-4935","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10,164","3.84","Q3","0.54","99.48"%,
"BIOSCIENCE REPORTS","BIOSCIENCE REP","0144-8463","1573-4935","CELL BIOLOGY - SCIE","10,164","3.84","Q3","0.54","99.48"%,
"TOXICON","TOXICON","0041-0101","1879-3150","PHARMACOLOGY & PHARMACY - SCIE","13,609","3.033","Q3","0.73","5.63"%,
"TOXICON","TOXICON","0041-0101","1879-3150","TOXICOLOGY - SCIE","13,609","3.033","Q3","0.73","5.63"%,
"JOURNAL OF PHYSICAL CHEMISTRY B","J PHYS CHEM B","1520-6106","1520-5207","CHEMISTRY, PHYSICAL - SCIE","111,523","2.991","Q3","0.47","7.44"%,
"Comparative Biochemistry and Physiology D-Genomics & Proteomics","COMP BIOCHEM PHYS D","1744-117X","1878-0407","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","1,466","2.674","Q3","0.71","3.65"%,
"Comparative Biochemistry and Physiology D-Genomics & Proteomics","COMP BIOCHEM PHYS D","1744-117X","1878-0407","GENETICS & HEREDITY - SCIE","1,466","2.674","Q3","0.71","3.65"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","BIOCHEMICAL RESEARCH METHODS - SCIE","9,768","2.518","Q3","0.73","1.86"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9,768","2.518","Q4","0.73","1.86"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","9,768","2.518","Q3","0.73","1.86"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","CRYSTALLOGRAPHY - SCIE","9,768","2.518","Q2","0.73","1.86"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","9,768","2.518","Q2","0.73","1.86"%,
"EXPERIMENTAL PARASITOLOGY","EXP PARASITOL","0014-4894","1090-2449","PARASITOLOGY - SCIE","6,774","2.011","Q3","0.59","8.61"%,
"PROTEIN AND PEPTIDE LETTERS","PROTEIN PEPTIDE LETT","0929-8665","1875-5305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2,640","1.89","Q4","0.26","0"%,
"JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY","J BRAZIL CHEM SOC","0103-5053","1678-4790","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7,554","1.838","Q3","0.28","99.63"%,
"PROTEIN ENGINEERING DESIGN & SELECTION","PROTEIN ENG DES SEL","1741-0126","1741-0134","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5,216","1.65","Q4","0.37","18.75"%,
"PROTEIN ENGINEERING DESIGN & SELECTION","PROTEIN ENG DES SEL","1741-0126","1741-0134","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","5,216","1.65","Q4","0.37","18.75"%,
"BRAZILIAN JOURNAL OF PHYSICS","BRAZ J PHYS","0103-9733","1678-4448","PHYSICS, MULTIDISCIPLINARY - SCIE","1,543","1.326","Q3","0.35","0.35"%,
"BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING","BRAZ J CHEM ENG","0104-6632","1678-4383","ENGINEERING, CHEMICAL - SCIE","2,852","1.232","Q4","0.2","99.42"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
