"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,% of OA Gold
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","N/A","1553-877X","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","29,361","35.6"," 1/158 ","35.8","Q1","34.7","8.7","21.58"%,
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","N/A","1553-877X","TELECOMMUNICATIONS - SCIE","29,361","35.6"," 1/88 ","35.8","Q1","34.7","8.7","21.58"%,
"Information Fusion","INFORM FUSION","1566-2535","1872-6305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","16,059","18.6"," 4/145 ","17.4","Q1","17.8","1.5","9.22"%,
"Information Fusion","INFORM FUSION","1566-2535","1872-6305","COMPUTER SCIENCE, THEORY & METHODS - SCIE","16,059","18.6"," 2/111 ","17.4","Q1","17.8","1.5","9.22"%,
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","52,299","10.6"," 4/158 ","11.1","Q1","9.2","2.9","5.28"%,
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","52,299","10.6"," 13/275 ","11.1","Q1","9.2","2.9","5.28"%,
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","TELECOMMUNICATIONS - SCIE","52,299","10.6"," 5/88 ","11.1","Q1","9.2","2.9","5.28"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE","10,306","9.3"," 4/54 ","9.8","Q1","9.1","0.8","0"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","10,306","9.3"," 8/158 ","9.8","Q1","9.1","0.8","0"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","10,306","9.3"," 19/275 ","9.8","Q1","9.1","0.8","0"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","TELECOMMUNICATIONS - SCIE","10,306","9.3"," 7/88 ","9.8","Q1","9.1","0.8","0"%,
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE","11,654","8.7"," 5/54 ","7.3","Q1","8.4","1.6","5.69"%,
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","11,654","8.7"," 12/110 ","7.3","Q1","8.4","1.6","5.69"%,
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","11,654","8.7"," 3/108 ","7.3","Q1","8.4","1.6","5.69"%,
"IEEE Access","IEEE ACCESS","2169-3536","2169-3536","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","239,575","3.9"," 72/158 ","4.1","Q2","3.6","0.7","98.4"%,
"IEEE Access","IEEE ACCESS","2169-3536","2169-3536","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","239,575","3.9"," 100/275 ","4.1","Q2","3.6","0.7","98.4"%,
"IEEE Access","IEEE ACCESS","2169-3536","2169-3536","TELECOMMUNICATIONS - SCIE","239,575","3.9"," 41/88 ","4.1","Q2","3.6","0.7","98.4"%,
"SENSORS","SENSORS-BASEL","N/A","1424-8220","CHEMISTRY, ANALYTICAL - SCIE","159,519","3.9"," 27/86 ","4.1","Q2","3.4","1","99.46"%,
"SENSORS","SENSORS-BASEL","N/A","1424-8220","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","159,519","3.9"," 100/275 ","4.1","Q2","3.4","1","99.46"%,
"SENSORS","SENSORS-BASEL","N/A","1424-8220","INSTRUMENTS & INSTRUMENTATION - SCIE","159,519","3.9"," 19/63 ","4.1","Q1","3.4","1","99.46"%,
"Applied Sciences-Basel","APPL SCI-BASEL","N/A","2076-3417","CHEMISTRY, MULTIDISCIPLINARY - SCIE","98,951","2.7"," 100/178 ","2.9","Q3","2.4","0.8","99.3"%,
"Applied Sciences-Basel","APPL SCI-BASEL","N/A","2076-3417","ENGINEERING, MULTIDISCIPLINARY - SCIE","98,951","2.7"," 42/90 ","2.9","Q2","2.4","0.8","99.3"%,
"Applied Sciences-Basel","APPL SCI-BASEL","N/A","2076-3417","MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE","98,951","2.7"," 207/342 ","2.9","Q3","2.4","0.8","99.3"%,
"Applied Sciences-Basel","APPL SCI-BASEL","N/A","2076-3417","PHYSICS, APPLIED - SCIE","98,951","2.7"," 77/159 ","2.9","Q2","2.4","0.8","99.3"%,
"INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS","INT J COMMUN SYST","1074-5351","1099-1131","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","4,108","2.1"," 179/275 ","1.8","Q3","1.9","0.7","0.91"%,
"INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS","INT J COMMUN SYST","1074-5351","1099-1131","TELECOMMUNICATIONS - SCIE","4,108","2.1"," 64/88 ","1.8","Q4","1.9","0.7","0.91"%,
"International Journal of Network Management","INT J NETW MANAG","1055-7148","1099-1190","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","451","1.5"," 134/158 ","1.6","Q4","1.4","0.2","6.96"%,
"International Journal of Network Management","INT J NETW MANAG","1055-7148","1099-1190","TELECOMMUNICATIONS - SCIE","451","1.5"," 76/88 ","1.6","Q4","1.4","0.2","6.96"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
